,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,start,end,BTC,ETH,XRP,BNB,LTC,LINK
0,0,0,0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,2,2,2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,3,3,3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,4,4,4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,5,5,5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,6,6,6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,7,7,7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,8,8,8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,9,9,9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,10,10,10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,11,11,11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,12,12,12,01/04/2019,01/01/2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,13,13,13,01/07/2019,01/04/2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,01/10/2019,01/07/2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,15,15,15,01/01/2020,01/10/2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,16,16,16,01/04/2020,01/01/2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,17,17,17,01/07/2020,01/04/2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,18,18,18,01/10/2020,01/07/2020,-1.0,-1.0,-1.0,-1.0,3.408005576003215,-1.0
19,19,19,19,01/01/2021,01/10/2020,3.3286775875577628,1.5002634544817328,0.3378815359199844,1.7564933187392646,3.471609984948845,5.951407959296068
20,20,20,20,01/04/2021,01/01/2021,0.6038450290698958,0.7799282291026762,3.043108724614513,1.0308197259087255,1.1864235104348149,3.820654920156021
21,21,21,21,01/07/2021,01/04/2021,1.2619649413282925,1.5083972412963922,1.5494896765187662,2.5044924121834304,2.3777403979547325,4.562552455821053
22,22,22,22,01/10/2021,01/07/2021,1.5050644691101047,3.133221839541429,5.223373140540887,0.8145318059623433,6.0564228494998815,6.876825227842403
23,23,23,23,01/01/2022,01/10/2021,1.6386221239613523,1.422537514082543,1.6950720678432212,0.7630700130795478,7.150267409780863,5.608785089381474
24,24,24,24,01/04/2022,01/01/2022,1.2809848742775696,1.1736193371027857,3.2153279805768573,0.6859261343653845,-1.0,8.475402063796027
25,25,25,25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,26,26,26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
