,start,end,ETH,XRP,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,0.2558641202444989,-1.0,0.30905436852088897,-1.0
7,01/01/2018,01/10/2017,0.20349238411185455,-1.0,0.18526523394646205,0.35244067729728373
8,01/04/2018,01/01/2018,0.277150603640826,-1.0,0.40879039931013084,0.3831099181127203
9,01/07/2018,01/04/2018,0.4041718013990827,0.33704758763163006,0.37707794602543765,0.35231955577386
10,01/10/2018,01/07/2018,0.007290812683615759,0.016710910174089516,0.01616008118599823,0.01610013745655613
11,01/01/2019,01/10/2018,0.13488579286943336,0.16842420599442037,0.11980989283230728,0.0639403198284243
12,01/04/2019,01/01/2019,0.193470783309084,0.23169764128398757,0.11769646985163874,0.25246007746325894
13,01/07/2019,01/04/2019,0.22722991448465513,0.24719781405710414,0.22043397709633764,0.3010167458889824
14,01/10/2019,01/07/2019,0.34072843098728467,0.2639918403440773,0.3115348439662316,0.36108963562391555
15,01/01/2020,01/10/2019,0.38949997340969933,0.4445876458932483,0.3531619726717878,0.37122861796381956
16,01/04/2020,01/01/2020,0.33932387120696905,0.3304686285376804,0.32996745406888567,0.3326945010135568
17,01/07/2020,01/04/2020,0.3600234475580796,0.3494871414853391,0.3634437071218757,0.3914788306068103
18,01/10/2020,01/07/2020,0.35656161045475865,0.337535732501902,0.3399818044452619,0.3384358903338145
19,01/01/2021,01/10/2020,0.37209752114480626,0.443036656827643,0.3571143087304193,0.3458829340372865
20,01/04/2021,01/01/2021,-1.0,-1.0,-1.0,-1.0
21,01/07/2021,01/04/2021,-1.0,-1.0,-1.0,-1.0
22,01/10/2021,01/07/2021,-1.0,-1.0,-1.0,-1.0
23,01/01/2022,01/10/2021,-1.0,-1.0,-1.0,-1.0
24,01/04/2022,01/01/2022,-1.0,-1.0,-1.0,-1.0
25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0,-1.0
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0
