,start,end,ETH,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0
7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0
11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0
12,01/04/2019,01/01/2019,-1.0,-1.0,-1.0
13,01/07/2019,01/04/2019,-1.0,-1.0,-1.0
14,01/10/2019,01/07/2019,-1.0,-1.0,-1.0
15,01/01/2020,01/10/2019,-1.0,-1.0,-1.0
16,01/04/2020,01/01/2020,-1.0,-1.0,-1.0
17,01/07/2020,01/04/2020,-1.0,-1.0,-1.0
18,01/10/2020,01/07/2020,-1.0,-1.0,-1.0
19,01/01/2021,01/10/2020,0.7026497262400533,0.21875607647728748,1.873016992150888
20,01/04/2021,01/01/2021,0.8645426610053089,0.5631063782915694,1.3208853004679466
21,01/07/2021,01/04/2021,0.546503220907608,0.5550993753976525,1.4351027734867086
22,01/10/2021,01/07/2021,1.4785483211612147,0.9094786059691937,3.5702706831297246
23,01/01/2022,01/10/2021,0.17274148953973362,0.22127873325139052,0.9166933388621153
24,01/04/2022,01/01/2022,0.5376391242205567,0.40871871605955507,3.284271638344486
25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0
