,start,end,ETH,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,0.41843636348445,-1.0
5,01/07/2017,01/04/2017,-1.0,0.27242020374333226,-1.0
6,01/10/2017,01/07/2017,0.7358222703222068,0.45252029270326005,-1.0
7,01/01/2018,01/10/2017,0.5143846515299468,0.19651896616743428,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,2.9063611189301657,1.2728895834695486,-1.0
11,01/01/2019,01/10/2018,3.201993172738131,1.206265400301981,2.707637781815244
12,01/04/2019,01/01/2019,1.2144813426207008,0.6472482771442423,0.8379379551488917
13,01/07/2019,01/04/2019,0.15622176142623784,0.0903799653468462,0.31506361348186745
14,01/10/2019,01/07/2019,2.31793979837011,0.8459787937803309,1.425255662705594
15,01/01/2020,01/10/2019,0.13584204467345404,2.6642910694485065,0.5648743317991886
16,01/04/2020,01/01/2020,0.5944604525573932,1.1580420050418356,0.5464184500187966
17,01/07/2020,01/04/2020,0.3946278874908984,2.775209501636756,2.2983329880179726
18,01/10/2020,01/07/2020,0.31038090461478135,1.0610210384398657,0.856080271166677
19,01/01/2021,01/10/2020,4.389320870747504,0.7052992272583202,0.24041706144044878
20,01/04/2021,01/01/2021,6.686738379752898,3.5456226633838037,6.766177739478278
21,01/07/2021,01/04/2021,3.5671048162329626,0.17441884834891336,0.4733833938214494
22,01/10/2021,01/07/2021,11.078896361214303,9.597688917121312,8.142251989659464
23,01/01/2022,01/10/2021,3.137491773704919,6.716247162536125,7.939313912902537
24,01/04/2022,01/01/2022,3.8824428699616598,3.851269682991851,2.7843470550271316
25,01/07/2022,01/04/2022,0.08455398537300364,0.16540674925453192,0.35907779401506573
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0
