,start,end,ETH,XRP,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0,-1.0
7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0,-1.0
11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0,-1.0
12,01/04/2019,01/01/2019,0.13665598621946395,0.25644866200294614,0.11310653881187091,0.2608149078018351
13,01/07/2019,01/04/2019,0.24668696147869748,0.24773561895783752,0.2185943347752308,0.25610089522206736
14,01/10/2019,01/07/2019,0.3396612409795144,0.2777264641565436,0.3111021845766814,0.366777443947534
15,01/01/2020,01/10/2019,0.3981007741667841,0.4118553822491363,0.34203280886054904,0.35537040897556416
16,01/04/2020,01/01/2020,0.34088847460465044,0.3123043398527654,0.3240627973103975,0.325391619665264
17,01/07/2020,01/04/2020,0.3736708664370397,0.36550542216160686,0.34853188335695934,0.4413383327339606
18,01/10/2020,01/07/2020,0.39567732963603847,0.3286579734785888,0.36698619039155966,0.38538273216216795
19,01/01/2021,01/10/2020,0.41560844022760407,0.32634202048939676,0.4005594069662116,0.3507416209511627
20,01/04/2021,01/01/2021,-1.0,-1.0,-1.0,-1.0
21,01/07/2021,01/04/2021,-1.0,-1.0,-1.0,-1.0
22,01/10/2021,01/07/2021,-1.0,-1.0,-1.0,-1.0
23,01/01/2022,01/10/2021,-1.0,-1.0,-1.0,-1.0
24,01/04/2022,01/01/2022,-1.0,-1.0,-1.0,-1.0
25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0,-1.0
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0
