,start,end,ETH,XRP,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0,-1.0
7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0,-1.0
11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0,-1.0
12,01/04/2019,01/01/2019,0.21148552276838659,0.34397971520952725,0.25091423006024194,0.23812078228201297
13,01/07/2019,01/04/2019,0.21215096033485137,0.2676490722811079,0.2457753684704961,0.23966187702541847
14,01/10/2019,01/07/2019,0.32478270105339535,0.39092310204593805,0.2430126975914841,0.6339465465614145
15,01/01/2020,01/10/2019,0.5214821972804592,0.42091747111414934,0.2881682891145691,0.5979810974814769
16,01/04/2020,01/01/2020,0.37245267993652015,0.39242333523599954,0.38625846159009564,0.745715643119585
17,01/07/2020,01/04/2020,0.5688787131398796,0.4500303001516475,0.4017280837019644,0.9145924367913714
18,01/10/2020,01/07/2020,0.830876272542299,0.4275444493859371,0.5272431669313327,1.9328086412128107
19,01/01/2021,01/10/2020,0.6143295501335031,0.13975992929144498,0.28645947852354176,2.0050039243719278
20,01/04/2021,01/01/2021,0.6695767397731913,0.8381754779164456,0.3793782136347619,1.6134293357597054
21,01/07/2021,01/04/2021,0.7947626767381272,0.47606901832798953,0.4878109998938365,1.7118989044375648
22,01/10/2021,01/07/2021,1.6752558202318972,5.52950657309552,0.8438067061648021,3.496660122356415
23,01/01/2022,01/10/2021,0.6319912233694807,0.8378216380612107,0.5487578047545435,1.6764132241012144
24,01/04/2022,01/01/2022,0.5232874915795795,2.956143022512533,0.5369974749575503,5.4632664835441105
25,01/07/2022,01/04/2022,0.31429283159592386,0.41773549368338353,0.15635979038351966,0.08753872973067407
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0
